Package Name,Reviewer Name,Review,Rating
io.metamask,HM Shakib Al-Hasan,great wallet,5
io.metamask,Sinha Sarkar,Metamask shollow chole kam kore na,5
io.metamask,cletus umoh,Good,5
io.metamask,Umar Yusif,Wow,5
io.metamask,victor osafele,Great app,5
io.metamask,Mirza Saqib,Gud Work Application,5
io.metamask,Nwagwu Ernestina,Nice,5
io.metamask,Ya'u Idris,Nice,5
io.metamask,Kilo Bravo,App is so unresponsive it takes time to load stuff,1
io.metamask,Marcus Himura,"Good application, easy to use, and awesome! All MetaMask users do not need to verify their accounts. I was going to give it more stars. The convenience of all the users I'm getting is really good. Every time I try to open the ETH network on my first account, it automatically responds quickly. The best crypto wallet ever!!",5
io.metamask,Mahfujur Rahman,wow,5
io.metamask,Abani Augustine,The app is too slow it takes time to load,1
io.metamask,max Taunton,this app Is incredibly slow of devices running exynos processers. do not recommend for users wanting instant trading,1
io.metamask,Nwagbo Sunday Kingsley,Perfect,5
io.metamask,Michael M,Easy to use very beginner friendly,5
io.metamask,Godbless Tapre,"How I wish there is option to choose less than 1 star, I think updating app makes it better than the previous, but metamask own is different. I can't even enter my app as I updated it. What a waist wallet 😴😴",1
io.metamask,Mohammed luthfan Mohammed Ilyas,Nice one,4
io.metamask,Terrance Lewis,Like the app,5
io.metamask,Mrchauhan Chauhan,very nice,5
io.metamask,Fortune David,metamask is the best,5
io.metamask,Anowar Jamil,Nice,5
io.metamask,eben chinonso,"Metamask is really frustrating. I just downloaded the app, after asking for create new wallet or import existing wallet, it never goes beyond the ""data usage page"" the agree button is never responding, just not click able. Its been like this for days even after updating the app. This is so annoying.",1
io.metamask,Abdul salam,ever green,5
io.metamask,Mark Pisternburg,I cannot type anything why?,1
io.metamask,jason hooksman,it really helps,5
io.metamask,Shah Mahabub,Nice project,5
io.metamask,Kabiru Abdulrazak,good 👍,5
io.metamask,Badamasi Shuaibu,Since yesterday I experience issues with my metamask app it didn't show my asset and can't reveal my secret recovery phrase and private key,1
io.metamask,Yaqoob Somro,this app is very good,5
io.metamask,Neha Pandey,Good,5
io.metamask,Umsir Halki Pholki,Why this app uploaded on play store???????? Very bad experience on it,1
io.metamask,Shahzaib Afzal,good,3
io.metamask,Mansur bhuyain,Nice,5
io.metamask,Webnet,Nice,5
io.metamask,Usman Khan,Very nice app,5
io.metamask,Muazzam Bhatti,decentralized wallet,5
io.metamask,Sujit Kumar Paul,Nice wallet,5
io.metamask,Paula Talbot,Very confusing,2
io.metamask,Alkali Saidu,Good,5
io.metamask,Manji Patel,Good,4
io.metamask,Ali Shan,Meta mask is the best Application and secure wallet,5
io.metamask,Md Faruque alam,Good,5
io.metamask,Casmir Miracle,"This app is horrendous, unresponsive, Tiring and time consuming...why can't it quickly load?, why do I have to wait for 600years to access my tokens?... Yall should fix up😡😡😡😡😡😡",1
io.metamask,Atif hussain,great,5
io.metamask,lalit kumar vishwakarma,best ऑफ the one,5
io.metamask,Ifeanyi Nweke,good wallet,1
io.metamask,Rossete,Unresponsive app,1
io.metamask,Fatima Saleh,very nice and suitable for use,4
io.metamask,Yogendra Umend Ram Gajpal,Lot of leg many problem to start this disappointed me this app,1
io.metamask,Jony Ta,Worst app ever. who the hell coded this garbage,1
io.metamask,Michael Odey,Totally awesome,5
io.metamask,Soheyla Barzegar,some times the act of connection to a website take very long time. it is really frustrating,4
io.metamask,Tokunbo Ogundele,I am beginning to feel very unsafe with this system. Too many times my wallet has been reset but I still don't understand why it is so. I have lost several amount on tokens that were added but I can't remember,1
io.metamask,Ahtsham Munir,Good,5
io.metamask,Oluwatobi Ajala,How do I import a wallet from trustwallet using my seed phrase?,4
io.metamask,adeniyi Samuel,My tokens are unable to load balance and find conversion rate on BNB network. Why is that pls?,2
io.metamask,cigaban zamani,very good,5
io.metamask,Md. Shahriar,Hevy laking problem apps please update ans sweeps problem,5
io.metamask,Patrick Taylor,"Yes the wallet is fine functionally but I was defrauded out of £2k and frankly the support team don't give a damn. They just send pre written responses, and never answer direct questions without prompting. It felt like they were far more interested in protecting themselves than helping me. I now have £2K Presale tokens linked exclusively to a now corrupt MM wallet and I'm been told they are too busy. You are on your own with this lot. No concept of 'client'",1
io.metamask,Muhammad Yousaf,good,4
io.metamask,Muhammad Faisal awan,Good app,4
io.metamask,arvind deshmukh,good,5
io.metamask,ASHOK DUBEY (चुन्नू पंडित मीरपुर प्रतापपुर),Very good apps for alls.,5
io.metamask,A d,Lost all my assets,1
io.metamask,Md Morshed,Good,5
io.metamask,Usman Bello,fast and easy,5
io.metamask,Peter Musa,nice app and love to work with it,5
io.metamask,Vilas N.,I have facing issues in transaction and as well as swap token in metamask,4
io.metamask,Ikegbunam Ifeanyi,Please my metamask wallet account is not connecting to my $block games I need urgent solutions,2
io.metamask,wasiu jamiu,Never seen an app this slow and unresponsive before.,1
io.metamask,jamshed alam,Very nice,5
io.metamask,Beautiful Soul,Stuck when trying to unlock lot of times.,1
io.metamask,Muhammed Arif,Good & gooldan,5
io.metamask,muhammad imran,Good,4
io.metamask,aderoju habeeb,This latest version is very poor and it's affecting the chain id,1
io.metamask,CHETAN H PATEL,very good performance and good for everyone,5
io.metamask,Mark Weindling,web3 browser is trash,2
io.metamask,Anthony Valera,Ang lag mo putik Nayan kong ako lang negative this is a negative apps,1
io.metamask,Naveed entertainment,very nice,5
io.metamask,Fahad Jutt,It's good but browsing is very slow,4
io.metamask,KHUN AUNG TIN WIN,"After updated the app, my tokens and assets balance didn't appear. Please fix it Asap.",1
io.metamask,Daniel DeWitt,Im haviing a lot of issues loading my balance.,4
io.metamask,Hendrik Zhuo,"Can't swipe to do the confirmation ,been trying close and open again many time but still same",1
io.metamask,Ingrid Raath,"get no support, just a virtual bot which does not help at all Buy crypto 'declined by, bank"". (using moonpay, the only option. Called bsnk, it IS supported..says there is no problfm their end",1
io.metamask,Adam,Do yourself a favor and use a different hot wallet metamask is horrible half the time after you put in your password it just goes to a white screen with a orange diamond in the middle then after about 5 minutes it closes. Imagine you have a token in your wallet that just skyrocket and you want to transfer to an cex or a dex to sell it and you can't cause you don't have access to it cause metamask won't open,1
io.metamask,Trishad Sarker,Nice aapp,5
io.metamask,Fatima Umar Farouk,everything is secured and perfect,4
io.metamask,Muhammad Naim Rasheed,metamask is a good wallet app,5
io.metamask,Sonu kumar,"I'm unable to creat my wallet on this app , it doesn't let me get advance from the agree page since it diesnt show option to agree the terms and conditions on my android phone",2
io.metamask,Solaiman Ibrahim,good trust me,5
io.metamask,AAA : KNOWLEDGE,Very bad,1
io.metamask,Oliver Jonas,always lagging and don't show accurate balance,3
io.metamask,Yakubu Abdul Nasir,"nice app, but it always difficult to import your tokens when change a phone",5
io.metamask,Muhammad Ashraf,Nice 💯,5
io.metamask,Stephen James (Eriggbabae),wow,5
io.metamask,Masum Shikder,It's good and secure blockchain technology,5
io.metamask,christy francis,Very easy to use I love this app,5
io.metamask,OFORI COLLINS,"metal mask is a very nice wallet, I think everyone must download it to keep their cryptocurrency safe.",5
io.metamask,Sengoun K Choum,Good,4
io.metamask,Emmanuel Onianwa,Good game,5
io.metamask,yovo yao,Why the gas fee is getting out hand,1
io.metamask,VICTOR ORILOYE,good,5
io.metamask,Paul Carstairs,🔥🔥🔥😎,5
io.metamask,Yomi Michael,Can't connect my metamask to gaimin and other airdrop page,1
io.metamask,Djo Jaber,Can't connect to my wallet,1
io.metamask,muhammad Abdulsalam,Absolutely safe,5
io.metamask,Hazrat Omar,this app is very friendly,5
io.metamask,Ahsan Khan,i am untresd,5
io.metamask,Agian Valentine,What kind of a useless update is this one my app no longer open metamask my funds dey inside open it let me move my funds pls,1
io.metamask,shubham soni,not working properly...,3
io.metamask,Shahbaz Butt,well & good,5
io.metamask,Gyulen emmanuel,"After Downloading new matamask, I can't recover my wallet the response giving to me is that, my secret phrase incorrect very annoyed",1
io.metamask,Mosa Bhai,Best wallet,5
io.metamask,RaiUmar RaiUmar,this best app,1
io.metamask,Syed Komail Raza,V Good 👍,4
io.metamask,Muhammad Seyaan,good,5
io.metamask,Andre D,Super glitchy and unresponsive on my Samsung Galaxy s22 ulter,1
io.metamask,Prafulla Sahoo,excellent,5
io.metamask,Santosh Kumar,good,3
io.metamask,lukman Muhammed,I have been unable to access this app for almost 8 days now. Still don't know why and i have updated the app several times. This is bad truly,1
io.metamask,Workineh Elias,"Metamask is mother blockchain of all other wallet, it is safe secured one.",1
io.metamask,amjad butt,Good,5
io.metamask,Daniella daniels,"The bugs in this app is frustrating, I hope it gets fixed. thank you",2
io.metamask,JB ADAM LOCSIN,WHY??? JASON-RPC-ERROR and my Asset Zero WHY??? YOU SHOULD DELETED YOUR COMPANY IN CRYPTO WORLD..,1
io.metamask,Victor Alex,Doesn't open Annoying app,1
io.metamask,Tanzil Islam,gd app,5
io.metamask,Sholagberu Abdulbasit,My wallet is not going through so I cannot give you any rating until you help me rectify it so I can recover my SRP,1
io.metamask,Nmasichukwu Matrix,Why can't I add BNB Smart chain mainnet to my network what is the problem exactly,3
io.metamask,Zakariya Muhammad,like,3
io.metamask,damilola Elijah,"I can't access my meta mask wallet and I have the 12 phrase phase but I couldn't login again on my new device, that's rubbish",1
io.metamask,Sunny Sultani,super,5
io.metamask,Muneer Baloch,good,2
io.metamask,Ghulam Shabbir,good app,5
io.metamask,Sonu Sharma,Sonusharma,5
io.metamask,Naseer Ahmad,it's amazing,5
io.metamask,Ankit Dubey,Crashing...nit even able to open in latest phone,1
io.metamask,Ali rashid,so nice app,5
io.metamask,David Joe,"Honestly this app is getting on my nerves... literally downloading it for the third time wondering what's going on... can't activate my wallet, can't even open it anymore. Pls work on that",1
io.metamask,Atmaram Godase,nice,5
io.metamask,MW D,"So laggy and I can't logged in, I'm using Android phone.",1
io.metamask,Syed Daniyal,this app trusted wallet nice app,5
io.metamask,Usman Nasir Isa,Nice,5
io.metamask,MDJoynal Abdin,very good wallet,5
io.metamask,MALIK FARHAN,NYC app,5
io.metamask,Malik Zubair,Nice app,5
io.metamask,sree sagar roy student,very beautiful app,5
io.metamask,Auwal Abubakar,perfect,4
io.metamask,Bret Rosenzweig,it's very good especially when paired with wallet guard,5
io.metamask,Abiona Olasunkammi,It's appalling that your team is demanding 200 dollars deposit in my wallet for an issue regarding my wallet not linking to my satoshi airdrop. This is not so with other wallets. It's a pity satoshi chooses metamask to operate with.,2
io.metamask,RAZZ_ARCH,"Metamask takes too much time to open, work on the app responsiveness",1
io.metamask,SHIBA PRASAD BARIK,secure and best,5
io.metamask,Sadiq Abdulwaheed,Send few bnb from trustwallet to metamask but is showing on my wallet,2
io.metamask,Ebube Okonkwo,"The Metamask extension in my Kiwi browser is something else .. it hasn't been opening for weeks , even after I remove the extension and installed it back , it only opened once and that was it .",2
io.metamask,Mahmodul Hasan,nice,4
io.metamask,Chuks Umeani,"Devs need to please fix the following. These need to be Priority 0 else this app could be extinct long before 2030: - Inability to see real-time balance currency value on tokens added within each network (biggest issue by a mile) - Performance latency when switching networks. Inaccurate token value displayed until multiple refresh - App is unable to accurately detect all available tokens within each network (when it does detect, only tokens with very low amounts are captured)",1
io.metamask,ntahobari sylvestre,it very well,1
io.metamask,Fareeha saif,excellent,5
io.metamask,kepsTzy TV,good,5
io.metamask,Riyan Ahmed,best crypto app in the world,5
io.metamask,Rifat Mehmood,metamask you are best more love to you,5
io.metamask,Consolee GWIZIMPUNDU,Nice app,4
io.metamask,Mujahid Hussain,nice,5
